RESIDENTIAL MANAGEMENT MASTER LIST - RM ONLY,,,,,,,,,,
"March 4, 2026",,,,,,,,,,
PROJECT,FILE#,Unit #,ST. #,STREET,CITY,PM,ACCT,INS,NON-RESIDENT,
11,1158-01,217,3205,MOUNTAIN HWY,NVAN,AN,Princes,NO,NO,
11,1162-01,303,1295,CONIFER STREET,NVAN,JR,Princes,NO,,
11,1165-01,711,175,VICTORY SHIPWAY,NVAN,AN,Princes,YES,,
11,1166-01,TH,909,HERITAGE BLVD,NVAN,AN,Princes,YES,,
11,1167-01,115,649,EAST 3RD STREET,NVAN,AN,Princes,YES,,
11,1168-01,201,2785,LIBRARY LANE,NVAN,AN,Princes,YES,NO,
11,1169-01,500,866,ARTHUR ERICKSON PLACE,WVAN,AN,Princes,YES,NO,
11,1171-01,608,1210,EAST 27TH AVENUE,NVAN,AN,Princes,YES,NO,
11,1172-01,1004,2785,LIBRARY LANE,NVAN,AN,Princes,YES,NO,
11,1173-01,111,3205,MOUNTAIN HWY,NVAN,AN,Princes,NO,YES,
11,1175-01,305,2707,LIBRARY LANE,NVAN,AN,Princes,YES,NO,
11,1176-01,302,1061,MARINE DRIVE ,NVAN,AN,Princes,YES,NO,
11,1177-01,105,715,WEST 15TH STREET,NVAN,AN,Princes,NO,NO,
11,1178-01,101,715,WEST 15TH STREET,NVAN,AN,Princes,NO,YES,
11,1180-01,107,827,WEST 16TH STREET,NVAN,AN,Princes,YES,NO,
11,1181-01,210,1633,TATLOW AVENUE,NVAN,AN,Princes,NO,NO,
11,1185-01,1704,1320,CHESTERFIELD AVENUE,NVAN,AN,Princes,NO,NO,
11,1188-01,405,118,CARRIE CATES COURT,NVAN,AN,Princes,YES,NO,
11,1189-01,605,125,EAST 14TH STREET,NVAN,AN,Princes,NO,NO,
11,1190-01,HOUSE,709,KEITH ROAD EAST,NVAN,AN,Princes,NA,YES,
11,1192-01,909,1550,FERN STREET,NVAN,AN,Princes,YES,NO,
11,1193-01,904,1471,HUNTER STREET,NVAN,AN,Princes,NO,NO,
11,1193-02,1408,1471,HUNTER STREET,NVAN,AN,Princes,NO,NO,
11,1194-01,601,1471,HUNTER STREET,NVAN,AN,Princes,YES,NO,
11,1195-01,902,1471,HUNTER STREET,NVAN,AN,Princes,NO,YES,
11,1196-01,1106,1471,HUNTER STREET,NVAN,AN,Princes,NO,YES,
11,1197-01,908,1471,HUNTER STREET,NVAN,AN,Princes,NO,YES,
11,1198-01,1303,1471,HUNTER STREET,NVAN,AN,Princes,NO,YES,
11,1199-01,,1433,HUNTER STREET,NVAN,AN,Princes,NO,NO,
11,1199-02,11,1818,CHESTERFIELD AVENUE,NVAN,AN,Princes,NO,NO,
12,1201-01,2701,2008,ROSSER AVENUE,BBY,AA,Vanessa, YES ,,
12,1202-01,108A,1690,AUGUSTA AVENUE ,BBY,AA,Vanessa,NO,,
12,1206-01,209B,1750,AUGUSTA AVENUE,BBY,AA,Vanessa,NO,,
12,1208-01,2203,15,EAST ROYAL AVENUE,NWEST,JR,Vanessa,NO,,
12,1210-01,,4661,BRENTLAWN DRIVE,BBY,AA,Vanessa, NO ,,
12,1213-01,403,6508,DENBIGH STREET,BBY,AA,Vanessa,YES,,
12,1216-01,6,6539,ELGIN AVENUE,BBY,AA,Vanessa,YES,,
12,1217-01,905,2077,ROSSER AVENUE,BBY,AA,Vanessa,YES,,
12,1219-01,2204,2077,ROSSER AVENUE,BBY,AA,Vanessa,YES,,
12,1220-01,1803,4400,BUCHANAN STREET,BBY,AA,Vanessa,NO,,
12,1224-01,HOUSE,1916,8TH AVENUE,NWEST,JR,Vanessa,N/A,,
12,1227-01,TH,7482,HAWTHORNE TERRACE,BBY,AA,Vanessa,NO,,
12,1228-01,304,7,RIALTO COURT,NWEST,JR,Vanessa,NO,,
12,1230-01,802,9521,CARDSTON COURT,BBY,AA,Vanessa,YES,,
12,1231-01,Main floor,4671,FAIRLAWN DRIVE,BBY,JR,Vanessa,NO,,
12,1231-02,Basement,4671,FAIRLAWN DRIVE,BBY,JR,Vanessa,NO,,
12,1234-01,206,9868,CAMERON STREET,BBY,AA,Vanessa,NO,,
12,1235-01,701,4888,BRENTWOOD DRIVE,BBY,AA,Vanessa, YES ,,
12,1237-01,3511,6098,STATION STREET,BBY,AA,Vanessa, YES ,,
12,1238-01,2104,4118,DAWSON STREET,BBY,AA,Vanessa,YES,,
12,1240-01,1310,2008,ROSSER AVENUE,BBY,AA ,Vanessa, YES ,,
12,1244-01,1402,2008,ROSSER AVENUE,BBY,AA,Vanessa, YES ,,
12,1246-01,3201,4485,SKYLINE DRIVE,BBY,AA,Vanessa, YES ,,
12,1248-01,215,4363,HALIFAX STREET,BBY,AA,Vanessa,YES,,
12,1256-01,335,7088,14TH AVE,BBY,AA,Vanessa,YES,,
12,1258-01,606,2378,ALPHA AVENUE,BBY,AA,Vanessa,YES,,
12,1264-01,608,680,NHARKSON STREET,NWEST,JR,Vanessa,YES,,
12,1268-01,HOUSE,3862,WINLAKE CRESCENT,BBY,AA,Vanessa,N/A,,
12,1271-01,107,7478,BYRNEPARK WALK,BBY,KH,Vanessa,YES,,
12,1277-01,2006,2008,ROSSER AVENUE,BBY,AA,Vanessa, NO ,,
12,1278-01,,6531,RANDOLPH AVENUE,BBY,AA,Vanessa, NO ,,
12,1278-02,,6529,RANDOLPH AVENUE,BBY,AA,Vanessa, NO ,,
12,1283-01,1503,4182,DAWSON STREET,BBY,AA,Vanessa,NO,,
12,1285-01,1106,121,10TH STREET,NWEST,AA,Vanessa,YES,,
12,1287-01,225,5788,SIDLEY STREET,BBY,AA,Vanessa,NO,,
12,1292-01,1102,4182,DAWSON STREET,BBY,AA,Vanessa,YES,,
12,1293-01,306,4690,HAZEL STREET,BBY,AA,Vanessa,NO,,
12,1295-01,409,4768,BRENTWOOD DRIVE,BBY,AA,Vanessa, YES ,,
12,1296-01,508,7088,SALISBURY AVENUE,BBY,AA,Vanessa,YES,,
12,1299-01,2505,2008,ROSSER AVENUE,BBY,AA,Vanessa, YES ,,
13,1301-01,232,5311,CEDARBRIDGE WAY,RMD,KH,Stanley,YES,,
13,1303-01,521,9371,HEMLOCK DRIVE,RMD,KH,Stanley,NO,,
13,1305-01,1306,7888,SABA ROAD,RMD,KH,Stanley,YES,,
13,1307-01,1606,5068,KWANTLEN STREET,RMD,KH,Stanley,YES,,
13,1319-01,1005,7680,GRANVILLE AVENUE,RMD,KH,Stanley,NO,,
13,1322-01,218,7633,ST. ALBANS ROAD,RMD,KH,Stanley,YES,,
13,1323-01,807,6351,BUSWELL STREET,RMD,KH,Stanley,NO,NO,
13,1324-01,702,10788,NO. 5 ROAD,RMD,KH,Stanley,YES,NO,
13,1325-01,TH16,5619,CEDARBRIDGE WAY,RMD,KH,Stanley,NO,NO,
13,1327-01,691,4133,STOLBERG STREET,RMD,KH,Stanley,NO,NO,
13,1329-01,27,8288,NO. 1 ROAD,RMD,KH,Stanley,YES,YES,
13,1330-01,1503,8100,SABA ROAD,RMD,KH,Stanley,NO,YES,
13,1331-01,30,10233,RIVER DRIVE,RMD,KH,Stanley,NO,NO,
13,1332-01,203,8870,CITATION DRIVE,RMD,KH,Stanley,YES,NO,
13,1333-01,703,7368,GOLLNER AVE,RMD,KH,Stanley,NO,NO,
13,1335-01,11,10233,RIVER DRIVE,RMD,KH,Stanley,NO,NO,
13,1336-01,HOUSE,11291,SEAHAM CRESCENT,RMD,KH,Stanley,NO,NO,
13,1337-01,906,6200,RIVER ROAD,RMD,KH,Stanley,YES,YES,
13,1338-01,119,5311,CEDARBRIDGE WAY,RMD,KH,Stanley,NO,YES,
13,1339-01,813,3333,BORWN ROAD,RMD,KH,Stanley,YES,NO,
13,1340-01,119,9366,TOMIKI AVE.,RMD,KH,Stanley,YES,NO,
13,1344-01,HOUSE,4831,LARKSPUR AVENUE,RMD,KH,Stanley,NO,NO,
13,1345-01,603,8080,CAMBIE ROAD,RMD,KH,Stanley,YES,NO,
13,1347-02,HOUSE,8431,DORVAL ROAD,RMD,KH,Stanley,NO,NO,
13,1349-01,105,5500,ARCADIA ROAD,RMD,KH,Stanley,NO,,
13,1351-01,1205,3333,CORVETTE WAY,RMD,KH,Stanley,NO,NO,
13,1356-02,316,8511,ACKROYD ROAD,RMD,AN,Stanley,NO,,
13,1357-01,305,6960,NICHOLSON ROAD,DELTA,JR,Stanley,YES,NO,
13,1358-01,515,6960,NICHOLSON ROAD,DELTA,JR,Stanley,YES,NO,
13,1359-01,1,7600,BLUNDELL ROAD,RMD,KH,Stanley,,,
13,1360-01,19,8433,BENNETT ROAD,RMD,KH,Stanley,YES,YES,
13,1361-01,9,9451,WILLIAMS ROAD,RMD,KH,Stanley,YES,NO,
13,1365-01,513,10788,NO. 5 ROAD,RMD,KH,Stanley,NO,NO,
13,1366-01,HOUSE,11640,SEATON ROAD,RMD,KH,Stanley,NA,NO,
13,1367-01,508,8180,LANSDOWNE ROAD,RMD,AN,Stanley,NO,NO,
13,1369-01,305,8628,HAZELBRIDGE WAY,RMD,KH,Stanley,NO,NO,
13,1370-01,903,5868,AGRONOMY ROAD,VAN,BW,Stanley,YES,NO,
13,1371-01,402,8180,LANSDOWNE ROAD,RMD,KH,Stanley,NO,NO,
13,1372-01,247,7471,MINORU BLVD,RMD,KH,Stanley,NO,NO,
13,1373-01,1211,8133,COOK ROAD,RMD,KH,Stanley,NO,NO,
13,1374-01,HOUSE,12260,Flury Dr,RMD,KH,Stanley,NO,NO,
13,1375-01,1114,6808,Minoru Blvd.,RMD,KH,Stanley,YES,NO,
13,1376-01,908,6788,MINORU BLVD,RMD,KH,Stanley,YES,NO,
13,1377-01,217,9233,ODLIN ROAD,RMD,KH,Stanley,YES,NO,
